,degree centrality,betweenness centrality,closeness centrality,local clustering
0x06Cc8833A3f25F028323329382F7556F38e18E72,0.00013572204125950055,0.0,0.20426972281904082,0.0
0x1400b67DaD61D4B8726fE1c56fe6E8e08eB7829C,0.00013572204125950055,0.0,0.20426972281904082,0.0
0x2a65Aca4D5fC5B5C859090a6c34d164135398226,0.15526601520086863,0.2391467390699497,0.26830140092335425,1.5295290885842067e-06
0x2d5825551f6776dFEA271F9FCFB60ECCd6c6A369,0.00013572204125950055,0.0,0.00013572204125950055,0.0
0x30668EbD9e1D0E126cBD054cA79F49e7cDe23667,0.00013572204125950055,0.0,0.19326090777957294,0.0
0x38a93c4B765597675a7720b92c75a3c480Ad4933,0.00013572204125950055,0.0,0.19931064793391956,0.0
0x4228d1Ca9957593198143BEA02d167F34Cfe5a58,0.00013572204125950055,0.0,0.17779320203418705,0.0
0x45385C740bAbeE36220E417839307f657cb9ca3c,0.00013572204125950055,0.0,0.14629380472854014,0.0
0x468569500925D53e06Dd0993014aD166fD7Dd381,0.00013572204125950055,0.0,0.20426972281904082,0.0
0x4Bb96091Ee9D802ED039C4D1a5f6216F90f81B01,0.015472312703583062,0.06442888827238302,0.2366234428869516,0.0
0x4eE228992261FE5bE6EE911d349f4D3ae3d0a995,0.00013572204125950055,0.0,0.19326090777957294,0.0
0x52bc44d5378309EE2abF1539BF71dE1b7d7bE3b5,0.1000271444082519,0.15546851213840973,0.2574525835134327,0.0
0x56C830805669f366A7B93411588954E1E1B2AAB6,0.00013572204125950055,0.0,0.1812820567566113,0.0
0x56eAAA77f2000519F64E2d1F1fEb75d5C762388f,0.00013572204125950055,0.0,0.20426972281904082,0.0
0x61C808D82A3Ac53231750daDc13c777b59310bD9,0.03623778501628665,0.05631729144736309,0.2144668737182611,0.0
0x66e834DDf340E7e7b829946a2bE17F408023c20e,0.00013572204125950055,0.0,0.1679862958556253,0.0
0x6C5a2d2B251B0b99A395e7921aeF1d23E30281Fb,0.00013572204125950055,0.0,0.20426972281904082,0.0
0x7eD1E469fCb3EE19C0366D829e291451bE638E59,0.008550488599348535,0.016135351315880377,0.18032906823541636,0.0
0x8C808f90Fb660d5dfc2E8F81F524f12EE63bC91a,0.00013572204125950055,0.0,0.20426972281904082,0.0
0xC7F76ec8d8B26409Fd01699331fBe8C168A0972d,0.00013572204125950055,0.0,0.19326090777957294,0.0
0xD34DA389374CAAD1A048FBDC4569AAE33fD5a375,0.09432681867535288,0.14984996131014405,0.23071402530911794,0.0
0xE26A51fe3c0e85f27ba168C977e4291d84206706,0.00013572204125950055,0.0,0.17779320203418705,0.0
0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,0.13707926167209555,0.22594349374322142,0.27736586470031854,0.0
0xcFC11F6A5e5E12D1a82386e4c481EBda18eEC8F3,0.00013572204125950055,0.0,0.17779320203418705,0.0
0xd8f74f6CF7Df74Fb4cf57618c3B371eB7d205bF0,0.00013572204125950055,0.0,0.19931064793391956,0.0
0xe34D75786Aa9cC14FA5676dAa53a4e98C0cE7DbF,0.00013572204125950055,0.0,0.20426972281904082,0.0
0xf4A5A1aE98c7954e7EA4fc0a633aCaCbC8d1F1a6,0.00013572204125950055,0.0,0.20426972281904082,0.0
0xf740c7cC3ee7CE71631d0a5210a1EAd3D3F996B2,0.00013572204125950055,0.0,0.00013572204125950055,0.0
,0.004750271444082519,2.249444989518802e-05,0.004493500014672654,0.0
0x32dc6bDF3a6e39a653D943bd2CA1886984728ed9,0.00013572204125950055,0.0,0.19326090777957294,0.0
