,degree centrality,betweenness centrality,closeness centrality,local clustering
0x32Be343B94f860124dC4fEe278FDCBD38C102D88,0.06666666666666667,0.0,0.06666666666666667,0
0x59201c4f962eCb95463Ce216Ae4bD3e44b4484b8,0.06666666666666667,0.0,0.06666666666666667,0
,0.13333333333333333,0.0,0.0,0
0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,0.13333333333333333,0.009523809523809525,0.13333333333333333,0
0xE0851e56c20705D80a5482f27bb2ae075D6dB94b,0.06666666666666667,0.0,0.08888888888888888,0
0x27BebC44c6f60f99D558422288d616eE15DcB36d,0.06666666666666667,0.0,0.06666666666666667,0
0x4C4b718FFe7e4D5330ab0fb600cF21b34035481c,0.06666666666666667,0.0,0.06666666666666667,0
0xcAA216e03eE4932941eF0729f250E297Fd5655Ad,0.06666666666666667,0.0,0.06666666666666667,0
0x306F70b5D52645157362256cA8a5ad6671F446A8,0.06666666666666667,0.0,0.06666666666666667,0
0x9622a5c3F29c73db32dA1418a25107B3FD6805Fe,0.06666666666666667,0.0,0.08888888888888888,0
0x06b6904D1517Fb5d2A805cFC00B7c91Feb4C8265,0.06666666666666667,0.0,0.06666666666666667,0
0x351Bbea88eB5100191D2A35d8eFAa0159FA6034A,0.06666666666666667,0.0,0.06666666666666667,0
0x2a65Aca4D5fC5B5C859090a6c34d164135398226,0.06666666666666667,0.0,0.06666666666666667,0
0x8BeaeDB8B9232671e6dA0e408060C25335B531a5,0.06666666666666667,0.0,0.06666666666666667,0
0xb2930B35844a230f00E51431aCAe96Fe543a0347,0.06666666666666667,0.0,0.06666666666666667,0
0x8abdcae273aB22BBD67865eF29E8bC2fFBa49309,0.06666666666666667,0.0,0.06666666666666667,0
