,degree centrality,betweenness centrality,closeness centrality,local clustering
0x09535d3D216A0FBd9aF82cb7716dCb3345CD550C,5.4023392128791766e-05,4.353684172799504e-05,0.2060453678087969,0.0
0x1E9939DaaAd6924AD004C2560e90804164900341,0.008454660868155911,0.010165973865477566,0.21577146654770737,4.0960104857868435e-05
0x20d691E92A45fE4D2162751958A7cFC2249F4DD2,5.4023392128791766e-05,4.769305024724859e-05,0.21363762104353037,0.0
0x27BebC44c6f60f99D558422288d616eE15DcB36d,0.018097836363145242,0.020996072952673923,0.19632437380863987,0.0
0x2a65Aca4D5fC5B5C859090a6c34d164135398226,0.1344101996164339,0.21491860762157755,0.2861715333477443,1.2118470164326454e-06
0x32d27343BB5d926F81daf5c13E7518E09A2Ab8aC,5.4023392128791766e-05,4.013995583333838e-05,0.20761997167998592,0.0
0x52bc44d5378309EE2abF1539BF71dE1b7d7bE3b5,0.07987358526241863,0.1213573006921164,0.2633383648070635,1.1440479987625978e-06
0x61C808D82A3Ac53231750daDc13c777b59310bD9,0.0321169066205667,0.04578688411298108,0.23339461123632887,1.4158971265783713e-06
0x639909A0bAC5502fbb1A57bA92817761FFDE1C05,5.4023392128791766e-05,7.830618302586219e-05,0.19695639686709313,0.0
0x8f2284D2C44DA88F69bd3536c3ff2a08DE8659E7,2.7011696064395883e-05,0.0,0.18760803729981373,0.0
0x91337A300e0361BDDb2e377DD4e88CCB7796663D,0.04862105291591259,0.05912502254774364,0.2500894109728849,6.176270767710456e-07
0xA42AF2C70d316684E57AEfcC6E393fecb1c7e84E,0.038140514842926986,0.04984303836501703,0.24453192502841697,1.0038487561310062e-06
0xA9d79a3868836c36A3393D23Ffca0B312407F8e4,2.7011696064395883e-05,0.0,0.18098219116267825,0.0
0xB6cD8fDaD01101eF5d42B68E0b9b69ada5Bc2fBd,2.7011696064395883e-05,0.0,0.20717451971758574,0.0
0xC001F3ae47516fB1Be2681dc117b0F2302ef96B5,2.7011696064395883e-05,0.0,0.19086204453537708,0.0
0xD19690cb6F4172a31FA59a8b3a022708ECf445b5,2.7011696064395883e-05,0.0,0.21118324559163243,0.0
0xD34DA389374CAAD1A048FBDC4569AAE33fD5a375,0.0977553280570487,0.16627636189345002,0.2768114904483551,2.7494470174686117e-06
0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,0.11242267902001567,0.18264851600686813,0.27885975807037794,2.0787521389493365e-06
0xF53A96E6D352656567214c8E2b5caef0659eE590,5.4023392128791766e-05,4.528843756081354e-05,0.19459877351439128,0.0
0xFF6603670a9f332f966F555E0f2d9A72F3444CB2,2.7011696064395883e-05,0.0,0.17877661747138565,0.0
0xa1a196CF905c2BcF583e81d1e794C5e8F6d78f7D,8.103508819318764e-05,2.4178571839417186e-05,0.18846093478871395,0.0
0xa85aA02aC1CfeF8602F622dB3e3ccdBfbBfF37d9,2.7011696064395883e-05,0.0,0.1702026394202719,0.0
0xa8F769B88d6D74FB2Bd3912F6793F75625228baF,0.017476567353664138,0.034531654673569674,0.24744358859661136,9.570248012977256e-06
0xaBa465Ead186c3ae2cDf57aeeE9EE8f0b88E18ec,8.103508819318764e-05,0.00039173818016848043,0.1624979458540194,0.0
0xb2930B35844a230f00E51431aCAe96Fe543a0347,0.01010237432808406,0.018121987291745783,0.2506238123368092,0.0001003569841292598
0xb36CBe7f95A39984384E6AA4068B02C1697Ef80E,0.009697198887118123,0.010251615911968895,0.22973949244048777,0.0
0xd502d15f469689A39f7c780421fD15fDE2C52e43,0.00021609356851516706,0.0003047272467357626,0.1352419006229139,0.0
0xeF846f473EF73c34D75712bAbD7d04bfAbd7B56C,5.4023392128791766e-05,0.00015999407733249075,0.2125272560644916,0.0
,0.0038896842332730073,0.012017148753719538,0.19977106491806979,0.0005993407252022775
0x48D85819e7B39511f5a8068139243B64997c6a6d,5.4023392128791766e-05,0.0001133178833236389,0.20792879370730427,0.0
0x24F21c22F0e641e2371F04a7bB8d713f89f53550,0.0068609708003565546,0.009356635395382427,0.23004722734429925,0.0
0x32Be343B94f860124dC4fEe278FDCBD38C102D88,0.02847032765187326,0.062359739415228745,0.26196690048532534,1.8020258374464575e-05
0x253A71074Bea24f2D5dE3BE56A86B622911Bd525,5.4023392128791766e-05,8.665049235105431e-05,0.19771598957588424,0.0
0x46f45481841b5E4cC2fD0CE55046E1704e7D5f24,2.7011696064395883e-05,0.0,0.20604183642984322,0.0
0xE0449562cB83CDafeF9860301B3E3f2243Ae0326,2.7011696064395883e-05,0.0,0.21118324559163243,0.0
0x18f41fc3Fc3860188bD576D80fA06e8fbDC9B248,2.7011696064395883e-05,0.0,0.21118324559163243,0.0
0x43b060d417Ab53D85FcBd031909cc448BEd2889a,5.4023392128791766e-05,2.811667129653732e-05,0.21774506946391234,0.0
0x472eA3E24E4f9232907D0399207497cC298A8Cf4,2.7011696064395883e-05,0.0,0.1578674628397424,0.0
0xEB766aB325073514E3A0C2b40E511D71dd7A6817,5.4023392128791766e-05,4.353684172799494e-05,0.2071780900300216,0.0
0x6836bcdff318Fdb4967413135706704E48532ac0,2.7011696064395883e-05,0.0,0.20717451971758574,0.0
0xBCb38D60623f688Badfe019B1d0ef73Fd9eA34DC,5.4023392128791766e-05,0.00018227100435166415,0.20890979442831933,0.0
0xA08ec916d6EDc6533C86B756EF1De16eb8aFA65b,5.4023392128791766e-05,2.811667129653732e-05,0.21774506946391234,0.0
0xe711fA745e7eF32a87A91c15322886aA0567eA5A,5.4023392128791766e-05,0.0,0.0,0.0
0x96338149E9f6c262D4CB7aeec1CF4c652079a11C,0.006806947408227762,0.0070979934740361544,0.20789283697500432,3.161955353190413e-05
0x3d586e88d20C2D82f1E1748843C80E0CE16d5640,2.7011696064395883e-05,0.0,0.16526229515870014,0.0
0xe46436dd98f58a77e12E76c40BE14fC7d4b772CC,2.7011696064395883e-05,0.0,0.20604183642984322,0.0
0x33D3488220d2c5cE26139B6c9a091323947BE43b,2.7011696064395883e-05,0.0,0.1984831024149658,0.0
0xe209A1236017E4108f791B7b4380882C8C1Ae3AE,2.7011696064395883e-05,0.0,0.19086204453537708,0.0
0x8ac2769B92e85f061477C1CEE357a4DFBE5BeCC4,2.7011696064395883e-05,0.0,0.1578674628397424,0.0
0xEADBA22d54C00cadf404e5130D02006a534CA926,2.7011696064395883e-05,0.0,0.1984831024149658,0.0
0x5753CFD8b36cBA88D939887978c7Ec87d3270f85,2.7011696064395883e-05,0.0,0.21118324559163243,0.0
0xB26E9A1B236DD7212C292F7ab25e3319C9AC6801,2.7011696064395883e-05,0.0,0.20717451971758574,0.0
0x3A24c7C49DC64CDf6C9Db30D9F1CB9dF2B294E56,5.4023392128791766e-05,0.0004827480182296836,0.21991590806300196,0.0
0xCBBA2A803bBd944a2EfDc72a53aB99780495Cfc1,0.0018097836363145242,0.0019869300114084957,0.20844976037612165,0.0
0x0E4ff6b4B5137FB8BbBA544c62aD739FE9eb7060,2.7011696064395883e-05,0.0,0.16561403816189646,0.0
0x42a598c1BEAFABfC8F4bab366b9c5eE701eC9062,5.4023392128791766e-05,0.0,0.20709957157181114,1.0
0x7BaA1bb132425584f47C60AbB86d9D852ee1f0B6,5.4023392128791766e-05,1.6298366312425196e-06,0.18127692376386598,0.0
0x6Ad9d0A11ddBbf86216185c53CcA4d549ddF8382,5.4023392128791766e-05,4.353684172799504e-05,0.2060453678087969,0.0
0x8858305A2676BDF703eEd444DCB35CEE8a9AC5df,2.7011696064395883e-05,0.0,0.20717451971758574,0.0
0x88e732AD244cB1Fb6c43e51b0200842b49514Cef,5.4023392128791766e-05,0.00010126975481372344,0.22415160498521552,0.0
0x310090e05DcE8936cFA963D640BA8278721efEAe,2.7011696064395883e-05,0.0,0.18760803729981373,0.0
0xE7E8A4D3D0C6B43855BE85f35bF86C38B370C01a,5.4023392128791766e-05,0.00015999407733249075,0.2125272560644916,0.0
0x1Bd3F8B8b4b2459Dcd357A375B25845f40Bc9d59,5.4023392128791766e-05,2.811667129653732e-05,0.21774506946391234,0.0
0xb44bef8e37B7E04f6dAff5aE4d3ef0a0a002E652,5.4023392128791766e-05,0.00010126975481372344,0.22415160498521552,0.0
0xE5CaF0E2755d6fa0d15c8e05856Ed208828fca00,2.7011696064395883e-05,0.0,0.19117314192847362,0.0
0xb2D955733E6A470533f68F72d0aF442070f24F55,0.0028632397828259634,1.517383120894589e-05,0.003150271834694714,0.0007468259895444362
0xf8eD05dC92b94A500d869Bfc8874FD04F1E8055c,2.7011696064395883e-05,0.0,0.0018026555498530865,0.0
0xfBd078Aca99beC90D6055FcA26F6aD58F636EDf1,2.7011696064395883e-05,0.0,0.20717451971758574,0.0
0x38435A6D23002258adE91594d3AcD25c3F781387,2.7011696064395883e-05,0.0,0.0018026555498530865,0.0
0x51Aa075006aeA33F19d50050ACb99A52C5c8fb98,2.7011696064395883e-05,0.0,0.17877661747138565,0.0
0x604c8D30F414cf440f5C570243337f69947ba54b,5.4023392128791766e-05,3.406688763351073e-05,0.214017945260974,0.0
0xB04c7801aa2f070e86CE607B72CfbdbC4403B1f7,2.7011696064395883e-05,0.0,0.21118324559163243,0.0
0x549B6b01b36138e5e8A60869b58c56D18891A0B7,5.4023392128791766e-05,0.00015999407733249075,0.2125272560644916,0.0
0x1724FfFb096067B0F6Bca2f9d626020d3cD7de88,2.7011696064395883e-05,0.0,0.16526229515870014,0.0
0xC15233674F0Cb7729e4Ab8aB733430C40580914d,2.7011696064395883e-05,0.0,0.21118324559163243,0.0
0x77F81Dc8045bB66Cb84883e4aD077FbD4dC8Dc3b,2.7011696064395883e-05,0.0,0.19117314192847362,0.0
0x364095eA80f84dBfBfCddCd0eca417100991FCE8,2.7011696064395883e-05,0.0,0.18760803729981373,0.0
0xfc4035e5253B9E03167E11bbA44E1AD25Ed1Df02,2.7011696064395883e-05,0.0,2.7011696064395883e-05,0.0
0xb9c211B45188F340DABD8118B54f929a02A6348B,2.7011696064395883e-05,0.0,2.7011696064395883e-05,0.0
0x8b2232C5006a7C9Bcb7b52d07aD429bB71Ae2c1C,0.007968450338996786,0.008225593868370787,0.2326403558745271,0.0
0xB594EaFFD227a0A048f00D81B1D2f1b3Da2f34c6,2.7011696064395883e-05,0.0,0.18052832925640927,0.0
0x05c2Deab3E3486b18ee8A1E5787073154340E22B,2.7011696064395883e-05,0.0,0.19770298365629627,0.0
0xE17AF102ba3c45301Cca05953892e2eD357486e6,0.00010804678425758353,8.755817200776624e-09,0.00010804678425758353,0.0
0xE394783BB7114c6476362851ee254a6714d0238f,2.7011696064395883e-05,0.0,6.174101957576201e-05,0.0
0x1dc18D33b6a6bbd0c084BB8aFf59cF5ADdE3b534,2.7011696064395883e-05,0.0,0.20604183642984322,0.0
0x4196070425E00627b2192B9026636C583051bE5D,2.7011696064395883e-05,0.0,0.20604183642984322,0.0
